Felidae,Canidae
Fulica atra,Gallinula chloropus
Vanellus vanellus,Pluvialis apricaria
Tringa totanus,Tringa nebularia
Calidris alpina,Calidris ferruginea
Numenius arquata,Numenius phaeopus
Scolopax rusticola,Gallinago gallinago
Haematopus ostralegus,Recurvirostra avosetta
Burhinus oedicnemus,Pluvialis apricaria
Stercorarius parasiticus,Stercorarius longicaudus
Crocodylidae,Alligatoridae
Pygopodidae,Colubridae
Chelonia mydas,Eretmochelys imbricata
Vipera berus,Natrix natrix
Natrix natrix,Natrix helvetica
Vipera berus,Vipera aspis
Coronella austriaca,Vipera berus
Zamenis longissimus,Hierophis viridiflavus
Elaphe quatuorlineata,Elaphe sauromates
Malpolon monspessulanus,Hierophis viridiflavus
Naja naja,Naja kaouthia
Naja naja,Naja atra
Bungarus caeruleus,Bungarus candidus
Dendroaspis polylepis,Dendroaspis angusticeps
Crotalus atrox,Crotalus scutulatus
Sistrurus catenatus,Sistrurus miliarius
Agkistrodon contortrix,Agkistrodon piscivorus
Bothrops atrox,Bothrops asper
Bitis arietans,Bitis gabonica
Echis carinatus,Echis coloratus
Malayopython reticulatus,Python bivittatus
Boa constrictor,Eunectes murinus
Morelia spilota,Morelia bredli
Pantherophis guttatus,Pantherophis alleghaniensis
Lampropeltis getula,Lampropeltis californiae
Thamnophis sirtalis,Thamnophis elegans
Pituophis catenifer,Pantherophis obsoletus
Coluber constrictor,Masticophis flagellum
Heterodon platirhinos,Heterodon nasicus
Opheodrys aestivus,Opheodrys vernalis
Nerodia sipedon,Nerodia fasciata
Regina septemvittata,Thamnophis saurita
Storeria dekayi,Storeria occipitomaculata
Diadophis punctatus,Contia tenuis
Tantilla coronata,Tantilla relicta
Lichanura trivirgata,Charina bottae
Eryx johnii,Eryx conicus
Acrochordus granulatus,Acrochordus javanicus
Laticauda colubrina,Hydrophis platurus
Micrurus fulvius,Micrurus tener
Chilabothrus striatus,Chilabothrus inornatus
Boiga irregularis,Boiga cynodon
Oligodon octolineatus,Oligodon fasciolatus
Trimeresurus albolabris,Trimeresurus popeiorum
Fowlea piscator,Fowlea flavipunctata
Platax teira,Platax orbicularis
Platax boersii,Platax orbicularis
Platax teira,Platax boersii
Ostracion meleagris,Ostracion solorense
Coradion chrysozonus,Chelmon rostratus
Chaetodon vagabundus,Chaetodon lunulatus
Heniochus varius,Heniochus chrysostomus
Heniochus acuminatus,Heniochus diphreutes
Lethrinidae,Lutjanidae
Lutjanus malabaricus,Lutjanus erythropterus
Diagramma pictum,Plectorhinchus chaetodonoides
Caesio cuning,Caesio teres
Scolopsis bilineata,Scolopsis lineata
Salarias fasciatus,Salarias guttatus
Flavocaranx bajad,Turrum fulvoguttatum
Pardachirus pavoninus,Soleichthys heterorhinos
Sphyraena flavicauda,Sphyraena jello
Abudefduf bengalensis,Abudefduf sexfasciatus
Abudefduf,Dascyllus
Pomacentrus coelestis,Pomacentrus auriventris
Amphiprion polymnus,Amphiprion clarkii
Pomacentrus polyspinus,Pomacentrus tripunctatus
Amblyeleotris gymnocephala,Amblyeleotris rubrimarginata
Eviota guttata,Eviota sebreei
Istigobius decoratus,Istigobius ornatus
Ptereleotris hanae,Ptereleotris microlepis
Ostorhinchus cyanosoma,Ostorhinchus wassinki
Epinephelus coioides,Epinephelus fuscoguttatus
Cheilinus chlorourus,Cheilinus trilobatus
Halichoeres hortulanus,Halichoeres leucurus
Scarus rivulatus,Scarus hypselopterus
Parapercis xanthozona,Parapercis hexophtalma
Pterois volitans,Pterois antennata
Gnatholepis cauerensis,Gnatholepis anjerensis
Gunnellichthys curiosus,Gunnellichthys viridescens
Mobula alfredi,Mobula birostris
Papilio machaon,Papilio xuthus
Papilio polyxenes,Papilio zelicaon
Heliconius melpomene,Heliconius erato
Vanessa atalanta,Vanessa indica
Pieris rapae,Pieris napi
Lycaena phlaeas,Lycaena dispar
Aglais io,Aglais urticae
Gonepteryx rhamni,Gonepteryx cleopatra
Polygonia c-album,Polygonia interrogationis
Nymphalis antiopa,Nymphalis polychloros
Erebia ligea,Erebia euryale
Danaus plexippus,Danaus gilippus
Papilionoidea,Geometroidea
Papilionoidea,Bombycoidea
Acherontia atropos,Acherontia styx
Laothoe populi,Smerinthus ocellata
Catocala nupta,Catocala sponsa
Automeris io,Automeris cecrops
Saturnia pavonia,Saturnia pyri
Arctia caja,Arctia plantaginis
Xestia c-nigrum,Xestia triangulum
Euplagia quadripunctaria,Callimorpha dominula
Phalera bucephala,Cerura vinula
Cossus cossus,Zeuzera pyrina
Manduca sexta,Manduca quinquemaculatus
Actias luna,Actias dubernardi
Psychidae,Tineidae
Tortricidae,Zygaenidae
Zygaenidae,Limacodidae
Scopula propinquaria,Scopula limboundata
Caeneressa diaphana,Amata huebneri
Synanthedon,Vespoidea
Acheron longus,Maezous formosana
Bombus terrestris,Xylocopa violacea
Vespa crabro,Vespa velutina
Apis mellifera,Apis cerana
Bombus pascuorum,Bombus muscorum
Vespula vulgaris,Vespula germanica
Formicidae,Myrmarachnini
Formicinae,Myrmicinae
Myrmeciinae,Myrmicinae
Dolichoderinae,Camponotus
Ponerinae,Camponotus
Ponerinae,Paraponerinae
Anoplolepis gracilipes,Solenopsis invicta
Syrphidae,Vespoidea
Lucanus cervus,Prionus coriarius
Coccinella septempunctata,Harmonia axyridis
Cicindela campestris,Cicindela hybrida
Cerambyx cerdo,Cerambyx scopolii
Melolontha melolontha,Amphimallon solstitiale
Ips typographus,Ips sexdentatus
Adalia bipunctata,Adalia decempunctata
Propylea quatuordecimpunctata,Psyllobora vigintiduopunctata
