Felidae,Canidae
Bubulcus coromandus,Ardea intermedia
Cacatua sulphurea,Cacatua goffiniana
Halcyon smyrnensis,Alcedo atthis
Pericrocotus speciosus,Pericrocotus solaris
Corvus pectoralis,Pica serica
Pterorhinus pectoralis,Pterorhinus perspicillatus
Pterorhinus pectoralis,Garrulax monileger
Saxicola stejnegeri,Saxicola maurus
Tringa glareola,Tringa ochropus
Tringa glareola,Actitis hypoleucos
Anas crecca,Spatula clypeata
Prinia flaviventris,Prinia inornata
